coffee_id,roaster,roast,origin,100g_USD,review
144,Merge Coffee Company,Light,Colombia,8.81,"Delicate, high-toned, complex. Guava, cocoa nib, narcissus, sandalwood, hazelnut butter in aroma and cup. Sweet-tart structure with bright, juicy acidity; very smooth, syrupy mouthfeel. Resonant finish consolidates to attractive notes of guava and cocoa nib."
1241,Moore Coffee,Medium-Light,El Salvador,5.48,"Richly floral, fruit-toned, balanced. Passion fruit, pink peppercorn, star jasmine, cocoa nib, sandalwood in aroma and cup. Sweetly tart structure with vibrant acidity; syrupy, viscous mouthfeel. The spicy-floral finish leads with notes of star jasmine and cocoa nib."
1083,Trident Coffee,Medium-Light,Brazil,5.28,"Sweetly nut-toned. Cashew, caramel, cedar, orange zest, lily in aroma and cup. Sweet structure with brisk acidity; lightly satiny mouthfeel. The finish centers around notes of cashew and cedar with caramel undertones."
638,JBC Coffee Roasters,Medium-Light,Guatemala,5.58,"Cleanly fruit-forward. Date, pink grapefruit zest, fresh-cut oak, hazelnut, magnolia in aroma and cup. Sweet structure with crisp acidity; buttery-smooth mouthfeel. The finish consolidates to pink grapefruit zest and hazelnut."
551,Cozy House Coffee,Medium-Light,Kenya,7.05,"Rich-toned, deeply sweet-savory. Red currant, mustard flower, cocoa nib, butterscotch, almond butter in aroma and cup. Balanced, richly sweet-savory structure with juicy, bright acidity; plush, syrupy mouthfeel. Finish consolidates to cocoa-toned red currant with butterscotch undertones."
1166,Steadfast Coffee,Medium-Light,Ethiopia,6.76,"Rich-toned, crisply sweet. Narcissus, plum, cedar, cashew butter, honey in aroma and cup. Sweet-tart structure with soft acidity; satiny-smooth mouthfeel. The finish resonates with plum and narcissus notes in the short, consolidating to cashew and cedar in the long."
581,Kakalove Cafe,Light,Ethiopia,9.91,"Enticingly sweet, deeply floral-toned. Lilac, cocoa nib, pomelo, amber, almond nougat in aroma and cup. Gently tart in structure with juicy, vibrant acidity; very satiny, smooth mouthfeel. Rich finish that harmoniously sustains all of the aromatics."
380,Paradise Roasters,Light,Hawai'I,17.59,"Vibrant, juicy, brightly fruit-toned and spicily floral. Wild strawberry, honey, dried gardenia, pistachio butter, pink peppercorn in aroma and cup. Sweet-tart structure with crisp, fresh acidity; viscous, lively mouthfeel. The finish amplifies rich floral and fruit with support from deep spice and earthy honey suggestions."
594,Klatch Coffee,Medium-Light,Panama,20.55,"Deeply fruit-toned, richly chocolaty. Candied papaya, black cherry, dark chocolate, honeysuckle, agave syrup in aroma and cup. Tart-leaning structure with high-toned, fruity acidity; smooth, gently tannic mouthfeel. The finish centers on dark chocolate and black cherry."
212,El Gran Café,Medium-Light,Guatemala,4.85,"Crisply sweet-tart, balanced. Plum, cocoa nib, almond, violet, elm in aroma and cup. Sweet-tart structure with brisk acidity; satiny-smooth mouthfeel. Gently drying, cocoa- and nut-toned finish with elm undertones."
18,Kakalove Cafe,Medium-Light,Kenya,5.66,"Evaluated as espresso. Richly sweet-tart, high-toned, deeply aromatic. Dried pomegranate, honeysuckle, dark chocolate, amber, pink grapefruit zest in aroma and small cup. Plush, voluptuous mouthfeel; resonant, flavor-laden finish. Superb in cappuccino-scaled milk: chocolaty and floral-toned."
257,JBC Coffee Roasters,Medium-Light,Kenya,6.76,"Berry-driven, complexly sweet-savory. Mulberry, praline, cocoa nib, lilac, tangerine zest in aroma and cup. Brightly sweet-savory structure with juicy, vibrant acidity; full, syrupy-smooth mouthfeel. Resonant, lingering, berry-toned finish, chocolaty and floral."
377,Small Eyes Cafe,Medium-Light,Kenya,8.0,"Sweetly herb-suffused, fruit-driven, hints of fresh earth. Lemon-thyme, mulberry, grapefruit zest, petrichor (a post-rain earthy note), myrrh in aroma and cup. Sweet-savory structure with bright acidity; syrupy-smooth mouthfeel. Savory-leaning, rich-toned finish.  "
298,RamsHead Coffee Roasters,Medium-Light,Kenya,4.98,"Deeply sweet-savory, yet bright and juicy. Dark chocolate, hop flowers, apricot, marjoram, cedar in aroma and cup. Sweetly savory structure with vibrant acidity; crisp, lightly satiny mouthfeel. The long, lingering finish retains its flavor-saturated, engaging structure throughout."
373,Hula Daddy Kona Coffee,Medium-Light,Hawai'I,22.02,"Richly sweet-savory, deep-toned. Baking spices, dark chocolate, date, narcissus, tangerine zest in aroma and cup. Sweetly savory structure with juicy, resonant acidity; plush, creamy mouthfeel. Long, lingering, flavor-saturated finish that leads with baking spices with undertones of dark chocolate and narcissus."
780,Temple Coffee Roasters,Medium-Light,Ethiopia,6.03,"Richly sweet, deeply aromatic, floral-toned. Plum, Meyer lemon zest, tea rose, sandalwood, maple syrup in aroma and cup. Balanced, sweetly tart structure; smooth, syrupy mouthfeel. Notes of tea rose and sandalwood permeate the rich finish."
1110,GK Coffee,,Brazil,4.27,"A ready-to-drink black coffee, tested cold. Bing cherry, sassafras, aromatic orchid, bay tree, brandy. Sweet-tart structure with juicy, bright acidity; lush, mouth-filling viscosity. Long, resonant, flavor-saturated finish that carries over all the notes from the cup. Quiet and elegant in milk, with all flavor notes represented at a lower volume."
3,Bird Rock Coffee Roasters,Medium-Light,Panama,49.97,"Delicately fruit-forward, multi-layered, complex. Dark chocolate, blackberry jam, macadamia nut, honey, sandalwood in aroma and cup. Sweet-savory structure with winy acidity; very full, syrupy-smooth mouthfeel. Fruit-toned finish with deep, lasting chocolate undertones. "
1239,Bird Rock Coffee Roasters,Medium-Light,Colombia,22.49,"Lush, high-toned, richly sweet. Apricot, bergamot zest, nougat, sandalwood, honeysuckle in aroma and cup. Deeply sweet in structure, with juicy, bright acidity; plump, syrupy mouthfeel. The finish is seemingly eternal, resonant with all the flavor notes from the cup: stone fruit, citrus zest, nutty caramel, aromatic wood and sweet florals."
784,Dragonfly Coffee Roasters,Medium-Light,Ethiopia,6.47,"Delicately and richly fruit-toned. Raspberry, dark chocolate, baking spices, tangerine zest, lemon verbena in aroma and cup. Sweet structure with winy acidity; very full, satiny mouthfeel. Chocolaty finish with notes of raspberry and baking spices."
39,Magnolia Coffee,Medium-Light,Costa Rica,5.29,"Evaluated as espresso. Bright, richly sweet, fruit- and cocoa-toned. Pomegranate, dark chocolate, narcissus, hazelnut, vanilla in aroma and small cup. Plush, creamy mouthfeel; sweetly tart finish with notes of pomegranate and hazelnut. Resonant and flavor-saturated in three parts milk; chocolate and tart fruit lead, with narcissus-like flowers ringing into the long finish."
511,Corvus Coffee Roasters,Medium-Light,Ethiopia,5.58,"Floral-toned, gently spicy. Freesia-like flowers, cocoa nib, orange zest, candied walnut, fresh-cut fir in aroma and cup. Crisply sweet finish with brisk acidity; lightly satiny mouthfeel. Crisp, bittersweet finish with notes of freesia and candied walnut."
249,Paradise Roasters,Medium,Thailand,4.98,"Evaluated as espresso. Sweetly tart, nut-toned. Almond butter, carob, lemon zest, date, magnolia in aroma and small cup. Crisp, satiny mouthfeel; nutty finish with hints of carob and lemon zest. In three parts milk, almond and magnolia notes gently harmonize. "
250,Dragonfly Coffee Roasters,Light,Yemen,15.43,"Delicately perfumed, sweetly fermenty. Green grape, rum barrel, rhododendron, cocoa nib, oak in aroma and cup. Sweet-tart structure with juicy acidity; syrupy-smooth mouthfeel. Sweet ferment suggesting rum barrel animates the crisply cocoa-toned finish. "
264,Red Rooster Coffee Roaster,Medium-Light,Ethiopia,6.17,"Very sweet, high-toned, richly floral. Star jasmine, lemon verbena, pineapple, cocoa nib, frankincense in aroma and cup. Sweetly tart structure with juicy, levitating acidity; delicate but syrupy mouthfeel. Crisp, long, floral-toned finish."
280,Euphora Coffee,Medium-Light,Yemen,21.52,"Chocolaty and richly wood-framed. Dark chocolate, fresh-cut pine, magnolia, pink peppercorn, golden raisin in aroma and cup. Sweetly tart structure with pert acidity; crisp, velvety mouthfeel. Richly drying, chocolaty finish. "
742,BeanFruit Coffee Co.,Medium-Light,Colombia,4.85,"High-toned, sweetly tart. Bing cherry, cocoa nib, honeysuckle, cedar, a hint of thyme in aroma and cup. Sweet-tart structure with bright, juicy acidity. Full, syrupy mouthfeel. The engaging finish leads with notes of cherry and honeysuckle, and cocoa nib resurfaces in the long."
1062,Kakalove Cafe,Medium-Light,Taiwan,19.82,"Richly berry and citrus-toned; bright and lively. Blackberry jam, tangerine zest, almond nougat, freesia-like flowers, wild honey in aroma and cup. Fruit-forward structure with crisp, juicy acidity; full, syrupy-smooth mouthfeel. The vibrant finish carries forward all of the aroma and flavor notes of the cup, blackberry and wild honey, in particular."
629,Willoughby's Coffee & Tea,Medium-Light,Panama,15.87,"Crisp yet very sweet, delicately intricate. Lavender, lemon zest, apple, walnut, fresh pipe tobacco in aroma and cup. In structure massively sweet, gently tart; light, velvety, lively mouthfeel. Apple, lemon and fresh tobacco notes saturate a quiet, lightly drying finish.  "
1124,Three Keys Coffee,Medium-Light,Ethiopia,5.88,"High-toned, crisply sweet-tart. Dried apricot, dark chocolate, rhododendron, cedar, almond in aroma and cup. Sweetly tart with pert acidity; velvety mouthfeel. The fruit-toned finish supported by notes of cedar and dark chocolate."
878,Peach Coffee Roasters,Light,Ethiopia,5.29,"Subtly complex, deeply sweet. Star jasmine, cocoa nib, mango, frankincense, spearmint in aroma and cup. Bright, juicy acidity; viscous, syrupy mouthfeel. The balanced finish leads with notes of star jasmine and mango, followed by cocoa suggestions."
663,Le Brewlife,Medium-Light,Taiwan,20.22,"Crisply cocoa-toned. Baking chocolate, magnolia, pie cherry, oak, cane sugar in aroma and cup. Sweet structure with brisk acidity; crisp, silky mouthfeel. Cocoa-driven finish with undertones of oak and cane sugar."
938,JBC Coffee Roasters,Medium-Light,Kenya,6.17,"Deeply sweet, richly sweet-savory, intricately balanced. Red currant, star jasmine, dark chocolate, pink grapefruit zest, sandalwood in aroma and cup. Sweetly savory structure with complex, bright acidity; very full, creamy mouthfeel. Lasting finish that carries over all the flavor and aroma notes from the cup."
1196,Chousin Coffee Collection,Light,Kenya,7.08,"Rich-toned, chocolaty. Baking chocolate, black currant, freesia-like flowers, clove, agave syrup in aroma and cup. Sweet structure with gentle, round acidity; full, satiny mouthfeel. The delicate finish leads with chocolate and freesia in the short, clove and agave syrup in the crisp-toned long."
1245,Paradise Roasters,Light,Tanzania,66.09,"Lyrically balanced, richly spice-toned. Bergamot, wisteria, cocoa nib, sugarcane, guava in aroma and cup. Intoxicatingly sweet structure with delicately bright acidity; buoyant, silky mouthfeel. Resonant, flavor-saturated, very long finish."
152,Black Coffee In Black Jar,Medium-Light,Guatemala,32.0,"Delicately sweet, floral toned. Narcissus, plum, cedar, cocoa nib, almond in aroma and cup. Deeply sweet in structure with gentle, rounded acidity; full, satiny mouthfeel. Crisp, richly drying finish with notes of narcissus and cocoa nib."
617,Kakalove Cafe,Light,Ethiopia,4.6,"Richly sweet-tart, fruity and juicy. Dried pineapple, dark chocolate, frankincense, wisteria, pistachio in aroma and cup. Richly sweet-savory structure with high-toned acidity; syrupy, viscous mouthfeel. The fruit-driven finish is complicated by notes of wisteria and dark chocolate. "
1004,JBC Coffee Roasters,Medium-Light,Indonesia,6.17,"Richly spice- and fruit-toned. Nectarine, clove, narcissus, cocoa nib, cedar in aroma and cup. Brightly sweet structure with vibrant, juicy acidity; full, syrupy-smooth mouthfeel. The balanced finish leads with notes of cocoa nib and nectarine, supported by clove, cedar and a hint of narcissus."
449,Speedwell Coffee,Medium-Light,Ethiopia,5.29,"Bright, richly sweet. Jasmine, guava, pine nut, maple syrup, Nutella in aroma and cup. Sweet-toned structure with crisp, citrusy acidity; velvety-smooth mouthfeel. Floral-toned in the short finish, chocolaty in the long."
866,Green Stone Coffee,Medium-Light,Kenya,10.67,"Evaluated as espresso. Complex, vibrant, richly nuanced. Toffee, pomegranate, dark chocolate, star jasmine, marjoram in aroma and small cup. Very viscous, syrupy-smooth mouthfeel; resonant, long, flavor-saturated finish. Integrated and harmonious in three parts milk, with pomegranate and dark chocolate framing deep suggestions of star jasmine."
559,JBC Coffee Roasters,Medium-Light,Ethiopia,5.26,"Evaluated as espresso. Complex, richly sweet-savory. Jasmine, dark chocolate, cannabis flower, almond paste, tamarind in aroma and small cup. Viscous, syrupy body; long, richly drying, flavor-saturated mouthfeel. In cappuccino-scaled milk, floral and savory notes (jasmine, cannabis) play harmoniously, supported by dark chocolate."
917,Cafe Kreyol,Medium-Light,Colombia,11.0,"Deeply sweet-savory. Watermelon candy (Jolly Rancher), chocolate fudge, oregano, cedar, hint of teriyaki sauce in aroma and cup. Savory-leaning structure with brisk acidity; lightly satiny mouthfeel. Salty, chocolaty finish."
437,Kakalove Cafe,Medium-Light,Ethiopia,4.96,"Deeply aromatic, richly nuanced. Dried mulberry, dark chocolate, hazelnut brittle, wisteria, Meyer lemon zest in aroma and cup. Sweet-tart structure with bright, juicy acidity; syrupy-smooth mouthfeel. Cocoa- and floral-toned finish with undertones of hazelnut and Meyer lemon zest."
845,Mr. Chao Coffee,Medium-Light,Ethiopia,3.52,"Sweetly herbaceous, cocoa-driven. Cocoa nib, lemon-thyme, pink grapefruit zest, caramel, cedar in aroma and cup. Sweetly savory with brisk acidity; delicate, silky mouthfeel. T"
359,GK Coffee,Medium-Light,Colombia,16.0,"Evaluated as espresso. Extremely sweet, intentionally fermenty, wine-like aroma. Red wine, salted caramel, gardenia, pomelo, hazelnut brittle in aroma and small cup. Plush, syrupy mouthfeel; crisply nut-toned and caramelly finish. In milk, this coffee is dessert-like in its impossibly deep sweetness."
1133,El Gran Café,Medium-Light,Guatemala,2.94,"Crisply sweet, balanced. Cocoa nib, almond, red grape, cedar, a hint of magnolia in aroma and cup. Sweet structure with pert acidity; satiny-smooth mouthfeel. The gently drying finish centers around sweet nut and red grape notes with cedar undertones."
143,Kakalove Cafe,Light,Ethiopia,4.6,"Deep, rich, berry-driven. Raspberry coulis, wild honey, star jasmine, marzipan, sandalwood in aroma and cup. Sweetly tart structure with bright, crisp acidity; satiny, viscous mouthfeel. The long, resonant finish is redolent of raspberry and star jasmine with sandalwood undertones."
503,Espresso Republic,Medium,Colombia,4.98,"Deeply sweet, chocolate-toned. Dark chocolate, Brazil nut, gardenia, baked apple, cedar in aroma and cup. Roundly sweet in structure; lean, lightly syrupy body. The gently drying finish is characterized by notes of dark chocolate throughout, supported by gardenia and apple tones in the short and cedar in the long. "
590,Reunion Island Coffee,Medium,Ethiopia,3.76,"Balanced, sweet-savory. Red currant, roasted cacao nib, clove, blood orange zest, frankincense in aroma and cup. Savory-sweet structure with lively acidity; syrupy mouthfeel. The resonant, spice-toned finish leads with intimations of clove and roasted cacao nib in the short, rounding to rich fruit tones with hints of frankincense in the long."
842,Fumi Coffee,Medium-Light,Guatemala,20.53,"Complex, sweetly tart, spice-toned. Peach, fine musk, toffee, macadamia nut, roasted cacao nib in aroma and cup. Sweet-tart structure with vibrant, juicy acidity; plush, syrupy mouthfeel. The elegant, lingering finish centers around notes of peach, toffee and fine musk, all cocoa-toned."
655,GK Coffee,Medium,Indonesia,7.2,"Evaluated as espresso. Complex, multi-layered, richly deep. Honeysuckle, dark chocolate, dried apricot, perique fermented pipe tobacco, pistachio in aroma and small cup. Viscous, creamy mouthfeel; resonant, long, flavor-saturated finish. The milk shot is floral, chocolaty and stone fruit-driven in equal measure."
913,Paradise Roasters,Medium-Light,Hawai'I,26.46,"Tropical fruit-toned, juicy and bright. Lychee, mango, almond butter, osmanthus, oak in aroma and cup. Sweet in structure with winey acidity; crisp, syrupy mouthfeel. Fruit-driven finish supported by notes of almond and oak."
75,Paradise Roasters,Medium-Light,Hawai'I,22.0,"Richly sweet, deeply savory. Dried persimmon, baking chocolate, hop flowers, myrrh, tarragon in aroma and cup. Savory-sweet structure with gentle, round acidity; very smooth, satiny mouthfeel. The rich, resonant, exceptionally long finish centers around notes of persimmon and chocolate supported by myrrh and tarragon."
788,Branch Street Coffee Roasters,Medium-Light,Ethiopia,5.73,"Vibrant, floral, richly sweet. Jasmine, white peach, almond, oak, lime zest in aroma and cup. Sweetly tart structure with juicy, bright acidity; plush, syrupy mouthfeel. The finish resonates with notes of white peach and jasmine with undertones of oak."
1135,Cozy House Coffee,Medium-Light,Costa Rica,5.64,"Juicy sweet, gently fermenty. Raspberry, thyme, dark chocolate, wine barrel in aroma and cup. Rich, sweet structure with buoyant acidity; satiny, viscous mouthfeel. Deeply chocolaty and fruit-toned finish."
56,MK Coffee Roasters,Medium,Ethiopia,6.4,"Delicately sweet, bright-toned. Lemon zest, rhododendron, baking chocolate, fresh-cut fir, molasses in aroma and cup. Gentle, lively acidity; light, satiny mouthfeel. Lemon zest and chocolate carry into a sweet, gently drying finish. "
522,Big Creek Coffee Roasters,Medium,Ethiopia,4.85,"Deeply sweet, subtly pungent. Honey, pear, tangerine zest, dark chocolate, pistachio in aroma and cup. Sweet and juicy yet crisp in structure (think ripe pear); plush and buoyant in mouthfeel. Resonant and flavor saturated in the short finish; simplifies around hints of tangerine and pistachio in the long."
794,94 Fresh Coffee,Medium-Light,Kenya,8.5,"Deep-toned, richly sweet-savory. Red currant, hop flowers, cocoa nib, butterscotch, almond butter in aroma and cup. Richly bittersweet, balanced structure with juicy, bright acidity; plush, syrupy mouthfeel. Finish consolidates to cocoa-toned red currant and butterscotch."
140,Coffee Please,Medium-Light,Ethiopia,5.12,"Deeply aromatic, sweet-savory. Grape candy, dark chocolate, lavender, shiitake mushroom, cedar in aroma and cup. Sweetly savory structure with gentle, round acidity; full, syrupy mouthfeel. Savory-tending finish consolidates to notes of Shiitake mushroom and lavender."
751,Quartet Kaffe,Medium,Kenya,8.48,"Richly sweet-savory, deep-toned. Date, hop flowers, maple syrup, cedar, cocoa nib in aroma and cup. Bittersweet structure with brisk acidity; full, lightly syrupy mouthfeel. Finish consolidates to cocoa-toned date in the short and cedar-like aromatic wood notes in the long. "
463,Jackrabbit Java,Medium,Kenya,3.53,"Rich-toned, chocolaty. Dark chocolate, red currant, freesia, clove, molasses in aroma and cup. Sweet structure with gentle, round acidity; full, satiny mouthfeel. A quiet finish leads with chocolate and magnolia notes in the short, clove and molasses in a gently drying long."
63,Dragonfly Coffee Roasters,Medium-Light,Panama,6.61,"Crisply sweet-tart, richly wood-framed. Rhododendron, blueberry, rum barrel, chocolate fudge, pecan praline in aroma and cup. Brightly sweet structure with winy acidity; viscous, satiny mouthfeel. Crisp, drying finish that leads with notes of oak barrel and deep chocolate."
174,Temple Coffee Roasters,Medium-Light,Kenya,6.91,"Chocolaty, richly sweet. Dark chocolate, date, hazelnut, cedar, agave syrup in aroma and cup. Sweet-toned structure with vibrant acidity; satiny-smooth mouthfeel. The finish centers around notes of dark chocolate and hazelnut with cedar undertones."
921,Paradise Roasters,Light,Ethiopia,7.33,"Richly sweet-tart, brightly fruit-forward. Pomegranate, cocoa nib, butterscotch, hazelnut, passionflower in aroma in cup. Sweet-savory in structure with citrusy acidity; crisply smooth mouthfeel. Quiet, cocoa-toned finish with sweet hazelnut undertones."
